,research,engine
2003-10-02,0.0,0.0
2003-10-03,0.0,0.0
2003-10-06,0.0,0.0
2003-10-07,0.0,0.0
2003-10-08,0.0,0.0
2003-10-09,0.0,0.0
2003-10-10,0.0,0.0
2003-10-13,0.0,0.0
2003-10-14,0.0,0.0
2003-10-15,0.0,0.0
2003-10-16,0.0,0.0
2003-10-17,0.0,0.0
2003-10-20,0.0,0.0
2003-10-21,0.0,0.0
2003-10-22,0.0,0.0
2003-10-23,0.0,0.0
2003-10-24,0.0,0.0
2003-10-27,0.0,0.0
2003-10-28,0.0,0.0
2003-10-29,0.0,0.0
2003-10-30,0.0,0.0
2003-10-31,0.0,0.0
2003-11-03,0.0,0.0
2003-11-04,0.0,0.0
2003-11-05,0.0,0.0
2003-11-06,0.0,0.0
2003-11-07,0.0,0.0
2003-11-10,0.0,0.0
2003-11-11,0.0,0.0
2003-11-12,0.0,0.0
2003-11-13,0.0,0.0
2003-11-14,0.0,0.0
2003-11-17,0.0,0.0
2003-11-18,0.0,0.0
2003-11-19,0.0,0.0
2003-11-20,0.0,0.0
2003-11-21,0.0,0.0
2003-11-24,0.0,0.0
2003-11-25,0.0,0.0
2003-11-26,0.0,0.0
2003-11-28,0.0,0.0
2003-12-01,0.0,0.0
2003-12-02,0.0,0.0
2003-12-03,0.0,0.0
2003-12-04,0.0,0.0
2003-12-05,0.0,0.0
2003-12-08,0.0,0.0
2003-12-09,0.0,0.0
2003-12-10,0.0,0.0
2003-12-11,0.0,0.0
2003-12-12,0.0,0.0
2003-12-15,0.0,0.0
2003-12-16,0.0,0.0
2003-12-17,0.0,0.0
2003-12-18,0.0,0.0
2003-12-19,0.0,0.0
2003-12-22,0.0,0.0
2003-12-23,0.0,0.0
2003-12-24,0.0,0.0
2003-12-26,0.0,0.0
2003-12-29,0.0,0.0
2003-12-30,0.0,0.0
2003-12-31,0.0,0.0
2004-01-02,0.0,0.0
2004-01-05,0.0,0.0
2004-01-06,0.0,0.0
2004-01-07,0.0,0.0
2004-01-08,0.0,0.0
2004-01-09,0.0,0.0
2004-01-12,0.0,0.0
2004-01-13,0.0,0.0
2004-01-14,0.0,0.0
2004-01-15,0.0,0.0
2004-01-16,0.0,0.0
2004-01-20,0.0,0.0
2004-01-21,0.0,0.0
2004-01-22,0.0,0.0
2004-01-23,0.0,0.0
2004-01-26,0.0,0.0
2004-01-27,0.0,0.0
2004-01-28,0.0,0.0
2004-01-29,0.0,0.0
2004-01-30,0.0,0.0
2004-02-02,0.0,0.0
2004-02-03,0.0,0.0
2004-02-04,0.0,0.0
2004-02-05,0.0,0.0
2004-02-06,0.0,0.0
2004-02-09,0.0,0.0
2004-02-10,0.0,0.0
2004-02-11,0.0,0.0
2004-02-12,0.0,0.0
2004-02-13,0.0,0.0
2004-02-17,0.0,0.0
2004-02-18,0.0,0.0
2004-02-19,0.0,0.0
2004-02-20,0.0,0.0
2004-02-23,0.0,0.0
2004-02-24,0.0,0.0
2004-02-25,0.0,0.0
2004-02-26,0.0,0.0
2004-02-27,0.0,0.0
2004-03-01,0.0,0.0
2004-03-02,0.0,0.0
2004-03-03,0.0,0.0
2004-03-04,0.0,0.0
2004-03-05,0.0,0.0
2004-03-08,0.0,0.0
2004-03-09,0.0,0.0
2004-03-10,0.0,0.0
2004-03-11,0.0,0.0
2004-03-12,0.0,0.0
2004-03-15,0.0,0.0
2004-03-16,0.0,0.0
2004-03-17,0.0,0.0
2004-03-18,0.0,0.0
2004-03-19,0.0,0.0
2004-03-22,0.0,0.0
2004-03-23,0.0,0.0
2004-03-24,0.0,0.0
2004-03-25,0.0,0.0
2004-03-26,0.0,0.0
2004-03-29,0.0,0.0
2004-03-30,0.0,0.0
2004-03-31,0.0,0.0
2004-04-01,0.0,0.0
2004-04-02,0.0,0.0
2004-04-05,0.0,0.0
2004-04-06,0.0,0.0
2004-04-07,0.0,0.0
2004-04-08,0.0,0.0
2004-04-12,0.0,0.0
2004-04-13,0.0,0.0
2004-04-14,0.0,0.0
2004-04-15,0.0,0.0
2004-04-16,0.0,0.0
2004-04-19,0.0,0.0
2004-04-20,0.0,0.0
2004-04-21,0.0,0.0
2004-04-22,0.0,0.0
2004-04-23,0.0,0.0
2004-04-26,0.0,0.0
2004-04-27,0.0,0.0
2004-04-28,0.0,0.0
2004-04-29,0.0,0.0
2004-04-30,0.0,0.0
2004-05-03,0.0,0.0
2004-05-04,0.0,0.0
2004-05-05,0.0,0.0
2004-05-06,0.0,0.0
2004-05-07,0.0,0.0
2004-05-10,0.0,0.0
2004-05-11,0.0,0.0
2004-05-12,0.0,0.0
2004-05-13,0.0,0.0
2004-05-14,0.0,0.0
2004-05-17,0.0,0.0
2004-05-18,0.0,0.0
2004-05-19,0.0,0.0
2004-05-20,0.0,0.0
2004-05-21,0.0,0.0
2004-05-24,0.0,0.0
2004-05-25,0.0,0.0
2004-05-26,0.0,0.0
2004-05-27,0.0,0.0
2004-05-28,0.0,0.0
2004-06-01,0.0,0.0
2004-06-02,0.0,0.0
2004-06-03,0.0,0.0
2004-06-04,0.0,0.0
2004-06-07,0.0,0.0
2004-06-08,0.0,0.0
2004-06-09,0.0,0.0
2004-06-10,0.0,0.0
2004-06-14,0.0,0.0
2004-06-15,0.0,0.0
2004-06-16,0.0,0.0
2004-06-17,0.0,0.0
2004-06-18,0.0,0.0
2004-06-21,0.0,0.0
2004-06-22,0.0,0.0
2004-06-23,0.0,0.0
2004-06-24,0.0,0.0
2004-06-25,0.0,0.0
2004-06-28,0.0,0.0
2004-06-29,0.0,0.0
2004-06-30,0.0,0.0
2004-07-01,-0.016464299412100203,-0.005206533728276841
2004-07-02,-0.0067846434312489046,-0.0032857497274932923
2004-07-06,-0.011810713661839611,-0.005654258957786262
2004-07-07,0.01201323468733706,0.005693855453453356
2004-07-08,-0.010668477175017177,-0.005121293296739715
2004-07-09,0.005529108605993649,0.0026046745599692667
2004-07-12,-0.0011532862568083835,-0.0005708094151246623
2004-07-13,0.0023659724035353102,0.0011373908986902492
2004-07-14,-0.007555325029537818,-0.0036170057248576803
2004-07-15,-0.009128768680552013,-0.004361196282396285
2004-07-16,-0.001955001439775894,-0.0011410806985165944
2004-07-19,-0.00059782089044641,-0.0003025059772638894
2004-07-20,0.01013310128863415,0.00499280324240714
2004-07-21,-0.014190475380233991,-0.006741038410109201
2004-07-22,0.0013929211970463706,0.0006102571166968218
2004-07-23,-0.02067741209356022,-0.009859309352981849
2004-07-26,-0.0005570541282211017,-0.0001592998152819547
2004-07-27,0.02290697276451903,0.011026501306368397
2004-07-28,-0.0003430754557788296,-0.00019022973102766905
2004-07-29,0.002123517301135136,0.0009625836709450386
2004-07-30,-0.009849498909792531,-0.004830495764007292
2004-08-02,-0.0012793547367234148,-0.0006532098777234374
2004-08-03,-0.005901579604380314,-0.002874727392918275
2004-08-04,0.00047193980256299284,0.00021520484926207395
2004-08-05,-0.013556911992413823,-0.006483518006802358
2004-08-06,-0.019631195928282608,-0.009774535154469133
2004-08-09,0.0070006756229292755,0.0034636902127864744
2004-08-10,0.01359035434042033,0.006582439288477238
2004-08-11,-0.01017499469051325,-0.00498724395443928
2004-08-12,-0.012842743730234807,-0.0061635600007099445
2004-08-13,0.0012785208491714606,0.00046797527190345356
2004-08-16,0.01410883874250829,0.00677558767272779
2004-08-17,-0.001475372326531943,-0.0008950189901999472
2004-08-18,0.0137699863270897,0.006738255144898675
2004-08-19,-0.003083007907041191,-0.0015529192320516971
2004-08-20,0.006299023733529752,0.0030589509923251157
2004-08-23,0.0032418955881099998,0.0017394479777208538
2004-08-24,-0.0023091231354485653,-0.001151648067357125
2004-08-25,0.009450958218801042,0.004465984416330393
2004-08-26,-0.003969601374503862,-0.0020459588017941455
2004-08-27,0.0012775594897929676,0.0006081428919624265
2004-08-30,-0.008631263286196345,-0.004300799519084908
2004-08-31,0.0015833153407336376,0.0005678277901515205
2004-09-01,-0.0006315440192453661,-0.0039040871674370647
2004-09-02,0.008914516749836343,0.00927146022723635
2004-09-03,-0.002811510926351568,-0.002856717409838505
2004-09-07,0.00709021763490747,0.00734561772658493
2004-09-08,-0.002882781860475969,-0.002932381102340842
2004-09-09,-0.0024189201284666173,-0.002598045486921441
2004-09-10,9.237672229966964e-05,1.7478949393412435e-05
2004-09-13,-0.002376816638335888,-0.0025916986729966895
2004-09-14,-0.00015614386113649292,-0.00020047896177732838
2004-09-15,-0.0029048759361294807,-0.003013753015664422
2004-09-16,0.002904513926391128,0.0032050393546652067
2004-09-17,0.005916244864216769,0.006280112584314379
2004-09-20,-0.005921733400589102,-0.006214989481237443
2004-09-21,0.009606009904197466,0.010263247163875722
2004-09-22,-0.012149827798969393,-0.012903819635798564
2004-09-23,0.003293088261561994,0.0035784387439286025
2004-09-24,0.0003366941279042135,0.00030659109124053785
2004-09-27,-0.0033531057077470505,-0.0036113192528031135
2004-09-28,0.01207972017285408,0.012938085269960986
2004-09-29,0.002046124545036998,0.0022173863257313187
2004-09-30,0.005459848518285015,0.005791065176509402
2004-10-01,0.004687976107655535,0.006235454213540104
2004-10-04,0.006213951205823243,0.008365848193471859
2004-10-05,-0.004102099230254508,-0.005630556575069723
2004-10-06,0.0053046578394925215,0.00711165827648319
2004-10-07,-0.0012121833503335733,-0.0016500685705169715
2004-10-08,0.004698642730163849,0.006421910584618606
2004-10-11,0.0006086162948950591,0.0008479492609940742
2004-10-12,-0.01274057350523844,-0.01716934876119236
2004-10-13,-0.010958651597201163,-0.014803514520447147
2004-10-14,-0.008948373606466054,-0.012138218126722777
2004-10-15,0.011506338775547575,0.015608654169089187
2004-10-18,-0.0006114845794903401,-0.0009483100555410795
2004-10-19,0.0003853374848460378,0.0005682012883263532
2004-10-20,-0.0058564527580370895,-0.008009662793844075
2004-10-21,0.0031821980608569,0.004130501999953351
2004-10-22,0.0028881783089624857,0.0042559425226527114
2004-10-25,0.0026302844249944113,0.0035485076600019205
2004-10-26,0.0027935176496748926,0.0037906035270895977
2004-10-27,0.0041398741837844755,0.005604154595823196
2004-10-28,-0.004993113360544643,-0.006895970967920495
2004-10-29,0.0013143840716120514,0.0018175732590932636
2004-11-01,0.005142278848821014,0.007036542509893051
2004-11-02,0.0021912572764767324,0.0032212925099024403
2004-11-03,0.010018008329029882,0.014180808921355315
2004-11-04,0.012040253770177478,0.016902178876957885
2004-11-05,0.003444828355094409,0.005080369973069487
2004-11-08,-0.008945892367693664,-0.012288745557146097
2004-11-09,0.0029005613427245946,0.0038241506758791566
2004-11-10,0.002320697490882262,0.0028696040599762718
2004-11-11,0.004639775331564788,0.007186051973883334
2004-11-12,0.007638909671863314,0.011288160699671757
2004-11-15,-0.0014716555094318462,-0.0017339093855648358
2004-11-16,-0.0063117011708936355,-0.009227361909098453
2004-11-17,0.008293217343171011,0.0125664528521372
2004-11-18,-0.0029287665592739875,-0.00372174878424103
2004-11-19,0.00011665307457553453,-0.001206496984836769
2004-11-22,-0.0017158001924769684,-0.0017254284993726277
2004-11-23,0.003077671087099776,0.004100053417509519
2004-11-24,0.0025297359912840323,0.004146061561237646
2004-11-26,0.014548827957296229,0.019855952954537015
2004-11-29,0.0016666424356373555,0.0017427136706664736
2004-11-30,-0.0009417288674533619,-0.0014716008298474303
2004-12-01,0.0024565864790704883,0.003651232691548545
2004-12-02,-0.002280496161982948,-0.0025564129797484014
2004-12-03,-0.0004993227763515629,-0.000525957876838401
2004-12-06,-0.006453863406919391,-0.007181169141894483
2004-12-07,-0.001771581319430282,-0.0017882733473542078
2004-12-08,-0.009593002855369237,-0.010627352989103223
2004-12-09,-0.012062159327647481,-0.013355226655839436
2004-12-10,-0.0046661925904319945,-0.005246853880062741
2004-12-13,0.01040576599764087,0.011322009402682465
2004-12-14,0.0014005835226204022,0.001365808431891491
2004-12-15,0.010001048837311566,0.011165193481159408
2004-12-16,0.002862004804459972,0.003333206911266595
2004-12-17,-0.0006634597254836505,-0.000726867891052807
2004-12-20,0.013931437289227133,0.015422620120778108
2004-12-21,0.0014904678763986157,0.001626600817588919
2004-12-22,0.0005265269014072538,0.0005560070605785672
2004-12-23,0.006948758374242581,0.007669995828607279
2004-12-27,0.007799226631232725,0.008568772712608475
2004-12-28,0.0011858070174778912,0.001342990284714185
2004-12-29,0.0007245819756664384,0.0007258168530919207
2004-12-30,-0.0027190558334670434,-0.0029682358008888965
2004-12-31,0.007224612211100601,0.007991075521641466
2005-01-03,-0.011863310217007927,-0.012897431200362797
2005-01-04,-0.016625050914551853,-0.011983795446447343
2005-01-05,-0.009945755148348279,-0.007175947662198645
2005-01-06,-0.0011521468930803525,-0.0008599027651122748
2005-01-07,-0.001995148156999027,-0.0014987818782166151
2005-01-10,0.0021495241346964344,0.001512944223219348
2005-01-11,-0.005835768771504546,-0.004325360942949108
2005-01-12,0.008717449686589385,0.006189486535879807
2005-01-13,-0.013180717904848649,-0.009751157582274073
2005-01-14,0.011701971478204287,0.00844056362243717
2005-01-18,-0.0019950135052806406,-0.0015193230829636528
2005-01-19,-0.013796924945452593,-0.010111115086936517
2005-01-20,-0.011405526716696313,-0.008365349801957467
2005-01-21,0.007249107919660269,0.005143803663696822
2005-01-24,-0.0019842304541362044,-0.001569008096512281
2005-01-25,0.01126282921012045,0.0085163801683672
2005-01-26,0.012297740889379183,0.008870082367039123
2005-01-27,0.0029135412361072643,0.0021594129131454753
2005-01-28,-0.008269102570673426,-0.006258303678179256
2005-01-31,0.0073853635429228515,0.00534158420091102
2005-02-01,0.008539803071744956,0.00630820321178116
2005-02-02,0.0010659438513248576,0.0007384209710168399
2005-02-03,-0.0021381342091599254,-0.0015619858300420786
2005-02-04,0.0008513514732675365,0.00039904545173019557
2005-02-07,-0.0062967457927290416,-0.00478086602837291
2005-02-08,-0.0023376557482026605,-0.0018718973975627717
2005-02-09,-0.006663773331120837,-0.005089485053113019
2005-02-10,0.017488096247408214,0.013447539728931979
2005-02-11,0.00930038841301456,0.006951978139317028
2005-02-14,0.005258779572131278,0.0038648194748993614
2005-02-15,0.007821990546224844,0.005869238643988028
2005-02-16,-0.00225143789014548,-0.001650741930773969
2005-02-17,0.004453622775455468,0.0033219424100456862
2005-02-18,0.015634525509227448,0.011679773273898686
2005-02-22,-0.0008633618423633527,-0.0006613973892042324
2005-02-23,0.00048492610614658815,0.0003860495781908835
2005-02-24,0.01046111512921144,0.007838368939882878
2005-02-25,0.011887297841874589,0.008911915099660384
2005-02-28,0.006626232714516789,0.0047264969855429495
2005-03-01,-0.0023471209993168865,-0.0004782884123784026
2005-03-02,-0.011665581601793318,-0.01295722964489121
2005-03-03,0.006046348904836296,0.00676405086034948
2005-03-04,0.009503655356446261,0.010445231905036101
2005-03-07,-0.006136396031806379,-0.006851935950481058
2005-03-08,0.004917302008114133,0.005538738028335599
2005-03-09,0.00014287302338056307,0.00012547109344884788
2005-03-10,-0.003392494098748422,-0.003703669422091771
2005-03-11,0.0038260151653481955,0.00427539681217981
2005-03-14,-0.008920094259184164,-0.009758450838636024
2005-03-15,-0.010576880915198317,-0.01142512274743257
2005-03-16,0.0008651403556665382,0.0011677300371446542
2005-03-17,0.005385756245709472,0.005445986355369303
2005-03-18,0.000715656666311737,0.0008336635439247786
2005-03-21,-0.010982852373272511,-0.011882099403004442
2005-03-22,-0.005166752315369949,-0.0053338708999166595
2005-03-23,-0.01261809545958592,-0.013641677080023618
2005-03-24,-0.0012035919269788864,-0.0013393451621398489
2005-03-28,0.0041115769828983795,0.004368708268017274
2005-03-29,-0.016178884415872563,-0.01727738940107404
2005-03-30,0.004908735586639179,0.004480059413495274
2005-03-31,0.004854065723086387,0.005059218475307992
2005-04-01,0.005840284639724025,0.005616292078080898
2005-04-04,-0.002091461347208834,-0.0019376466406799686
2005-04-05,0.001126957973587972,0.001070798703181719
2005-04-06,0.00758524220559742,0.008023758964038397
2005-04-07,0.002958475927908044,0.00341234284562697
2005-04-08,0.0011568669174788493,0.0008730445679139276
2005-04-11,-0.0022441517580651382,-0.002699199810427322
2005-04-12,0.0024510656824063837,0.0029773063207361172
2005-04-13,-0.007273833663701101,-0.008229754970875969
2005-04-14,-0.013601515723481006,-0.01460034582659131
2005-04-15,-0.008506601636730893,-0.009437942806051258
2005-04-18,0.004998841898862072,0.005301075092348562
2005-04-19,0.00867277794793131,0.009013117409634397
2005-04-20,-0.013749624959617901,-0.014515650480503961
2005-04-21,0.013767452454418294,0.014987674900275527
2005-04-22,-0.0019808885913321084,-0.0026104737127641275
2005-04-25,0.00797123674768263,0.008608934936732426
2005-04-26,-0.006467051710110638,-0.006899202838668295
2005-04-27,-0.008106159322098128,-0.008334550809104058
2005-04-28,-0.012766463401969907,-0.013383531531042991
2005-04-29,0.01663683119389664,0.017205809043674414
2005-05-02,0.0006496272903298572,0.00047157193915681184
2005-05-03,-0.002590808101669173,-0.002196420590262149
2005-05-04,0.013594644042447701,0.011438762934208313
2005-05-05,0.0013589803324258742,0.0011787094400463882
2005-05-06,0.0013330257293531211,0.0010911542835165822
2005-05-09,-0.000716581940877925,-0.0006297269260475691
2005-05-10,-0.016335643452919102,-0.01395648638267799
2005-05-11,0.0014095553780331116,0.0011600049783504485
2005-05-12,-0.01382985956909455,-0.011805333915172245
2005-05-13,-0.01476723488774262,-0.012700363759321043
2005-05-16,0.004585843186743599,0.003781282376411399
2005-05-17,-0.003597219996857748,-0.00321729666055226
2005-05-18,0.00717574511861041,0.005879734402868708
2005-05-19,-0.00048476112073786437,-0.000597962200958535
2005-05-20,-0.005309004629363123,-0.004728066679874909
2005-05-23,0.0009975032247964144,0.0006989490159592382
2005-05-24,-0.005673989781863509,-0.005072602256366743
2005-05-25,-0.0010633329337219055,-0.0008490543403016915
2005-05-26,0.0006236464902364958,0.0002676813654576282
2005-05-27,0.0046762833658013925,0.00409915160269958
2005-05-31,-0.011750953328637681,-0.010230632415639485
2005-06-01,0.0016882072049692071,-0.0008410521129597059
2005-06-02,0.0004090920788439867,0.0004641467073682737
2005-06-03,0.003067620407498972,0.003500403832957799
2005-06-06,0.007985748049659347,0.009066917462700497
2005-06-07,0.0053118026524545114,0.005860237778990474
2005-06-08,-0.002308654328012083,-0.0026676562601462006
2005-06-09,-0.0033540820088381884,-0.0036804680072232143
2005-06-10,0.002228172452173882,0.00244936657124617
2005-06-13,-0.004994984478967401,-0.005489029419671665
2005-06-14,-0.00041149377509958063,-0.0004073394601183944
2005-06-15,0.002088175074414056,0.0024555517186681808
2005-06-16,0.003038885446053463,0.0035536468941776977
2005-06-17,0.004050624921368484,0.004803821008519948
2005-06-20,-0.005526924914740716,-0.006463508242281701
2005-06-21,0.0012244026465704771,0.001143009226093561
2005-06-22,0.010893986889894014,0.012337771796421704
2005-06-23,0.003273337763004036,0.003129576581053062
2005-06-24,0.010040805171743439,0.010861549552562355
2005-06-27,0.006092134100194102,0.006668767769740125
2005-06-28,-0.008600940932349421,-0.009010679992472403
2005-06-29,-0.0012805036055011376,-0.0015981896184663613
2005-06-30,0.009579081030163195,0.01028532384534353
2005-07-01,-0.005032911390932371,-0.005297452970162486
2005-07-05,-0.011690193072653121,-0.013150742091188827
2005-07-06,0.006949641316436939,0.007795419892113742
2005-07-07,-0.001210203537924004,-0.0014707256947552594
2005-07-08,-0.012136576829784862,-0.0141390099159443
2005-07-11,0.00043597225179592414,0.0002651339314068135
2005-07-12,-0.0005191895490114229,-0.0004802931013316858
2005-07-13,-0.0029487488872501633,-0.003520991091821468
2005-07-14,-0.005308707916338196,-0.006484719830791241
2005-07-15,-0.0026571988885535913,-0.0035627429563304114
2005-07-18,-0.001211567125184887,-0.0010579470171478977
2005-07-19,-0.001075032040529389,-0.0018151933826093813
2005-07-20,-0.0024892682032672253,-0.0036013503921787926
2005-07-21,0.001427978618662562,0.002347774564836591
2005-07-22,-1.0593116482437992e-05,-0.00026706413260702
2005-07-25,-0.002839396329581745,-0.0032854812516091014
2005-07-26,0.0011391634039680243,0.001169549413565063
2005-07-27,-0.003728146584497105,-0.004733821967749963
2005-07-28,0.005143811124624698,0.005859583042114647
2005-07-29,0.0021971131616049244,0.0035193615285278312
2005-08-01,0.005427276175522134,0.007055716609269069
2005-08-02,0.0022979363985151657,0.0035046513784142697
2005-08-03,0.00019253479860753542,0.00020023520825440677
2005-08-04,-0.00020361735429014205,-0.0004116553232444975
2005-08-05,-0.008032200542508305,-0.012147338367560323
2005-08-08,0.007479631124408359,0.011170475126727863
2005-08-09,0.007181028205439088,0.010731436307253706
2005-08-10,0.009348738555351233,0.01387370032018631
2005-08-11,-0.005547171101571546,-0.008156754442640413
2005-08-12,0.0005435121064756299,0.0005184358184169291
2005-08-15,-0.00021883005111239529,-0.00022605624257698853
2005-08-16,0.0005704520556338855,0.0004660358833905587
2005-08-17,-0.004009548518981831,-0.005840916943935293
2005-08-18,-0.0055904612664911535,-0.008373845626035825
2005-08-19,-0.0014541510580391992,-0.0021577765419603656
2005-08-22,0.005003954545623801,0.007257567835927681
2005-08-23,-0.001939287884756502,-0.0028785277931985265
2005-08-24,-0.0033021311610113013,-0.004886722000984056
2005-08-25,0.00574080978499214,0.008382654335842954
2005-08-26,0.0016939109333493074,0.002422942931119998
2005-08-29,0.001872506065903834,0.0027856245517230427
2005-08-30,-0.0026048433372062862,-0.003798815819285317
2005-08-31,0.00666123814358921,0.009832633157985216
2005-09-01,0.013413998375076676,0.0034534883340902045
2005-09-02,0.005645250190263407,0.0038506444979637955
2005-09-06,0.017498689110144183,0.011924117399823464
2005-09-07,0.005570355394719839,0.0036744521982614575
2005-09-08,-0.005166826056047236,-0.003507397580820415
2005-09-09,0.011926522339225198,0.008164125058584437
2005-09-12,0.000407921598586547,0.000141284632989791
2005-09-13,-0.013165255223406835,-0.008889687350920439
2005-09-14,0.0015313159707666113,0.000951484477863529
2005-09-15,0.008903672680512675,0.005932057974758376
2005-09-16,0.01853972493106304,0.01243583400869297
2005-09-19,-0.006112357906889854,-0.004057278637133566
2005-09-20,-0.0013862737401252878,-0.0008753123197843271
2005-09-21,-0.0016929889510155505,-0.000857668594903993
2005-09-22,-0.0053755540947462155,-0.003769498884293121
2005-09-23,0.003976076791070204,0.002527355803260134
2005-09-26,0.013449441847769306,0.008984763198677026
2005-09-27,-0.006223352082768585,-0.004218016824244719
2005-09-28,0.006485595747836248,0.004568665931728999
2005-09-29,0.018145953395184156,0.012277384715054351
2005-09-30,-0.000925877067676717,-0.0007757514923540931
2005-10-03,0.004166894625792839,0.0035988612970858647
2005-10-04,-0.0025750119587391596,-0.00231537977780516
2005-10-05,-0.014165929345705874,-0.012524951872713963
2005-10-06,-0.017405662683087353,-0.015061361561733877
2005-10-07,0.011764387336543503,0.00991614830977161
2005-10-10,-1.866199164846094e-05,-2.86494019016148e-05
2005-10-11,0.0044491460100109514,0.0038610678740991222
2005-10-12,-0.01284481223371009,-0.010984821363835606
2005-10-13,-0.0031014186870899074,-0.002610408601597558
2005-10-14,-0.0024848065605702074,-0.002046304453348635
2005-10-17,-0.0007581626206231151,-0.0009962236819316406
2005-10-18,-0.013777391094842384,-0.01172453616485225
2005-10-19,0.004898947224737715,0.0037901586161819267
2005-10-20,-0.02303445926726172,-0.019588630444892674
2005-10-21,0.01133350775734221,0.009128430722514569
2005-10-24,0.015700722975254544,0.013318247187626975
2005-10-25,-0.005976783837468802,-0.00492456900025684
2005-10-26,0.004291413038296055,0.0037723203693063034
2005-10-27,-0.008678457963857689,-0.007162165790691066
2005-10-28,0.010795353370061045,0.00878170405608758
2005-10-31,0.008114882772131793,0.006758163303368425
2005-11-01,0.012771270278702007,0.007167834706519383
2005-11-02,0.009061744212621459,0.0063671156698470455
2005-11-03,-0.005454187144584344,-0.0038536125231964924
2005-11-04,-0.007153311127814366,-0.005081240602975989
2005-11-07,0.0017269956053577173,0.001197216698706427
2005-11-08,-0.008521563435619162,-0.006051785606250526
2005-11-09,0.009554649299691576,0.006783202761309504
2005-11-10,-0.008155787915041957,-0.005796070945294107
2005-11-11,0.0017600445039255286,0.0012136686044392775
2005-11-14,-0.0020626063616732138,-0.0015159905045689648
2005-11-15,-0.004923349809486388,-0.003461229642857888
2005-11-16,-0.0022435918996392967,-0.0015914857728852594
2005-11-17,0.008347718756069211,0.005817110288462102
2005-11-18,0.0043456056127277876,0.0030448224582733108
2005-11-21,-0.0011801421745385454,-0.00087543236530363
2005-11-22,-0.0021431260815181763,-0.0015910282097059136
2005-11-23,0.0077951004680604785,0.005645460863733964
2005-11-25,-0.007712368324419183,-0.005566023544574916
2005-11-28,0.0016461357575470181,0.0012319178274649012
2005-11-29,-5.491462367418487e-05,-0.00011875347358503152
2005-11-30,-0.0012379440739761494,-0.0008403900891322813
2005-12-01,0.014252857742872715,0.010149114678613458
2005-12-02,-0.00031522987468102226,-0.00029100087383049367
2005-12-05,0.011456382327359627,0.008427919260865835
2005-12-06,0.0020927039906063483,0.0016633538763377587
2005-12-07,-0.0067656542709821355,-0.00502707484193432
2005-12-08,-0.002410477096228991,-0.0017218505940267415
2005-12-09,0.010405869473530671,0.007508676754991228
2005-12-12,0.00852131418204477,0.00612790768228666
2005-12-13,0.005734425925043918,0.0043247030573976275
2005-12-14,-0.005037878393849005,-0.0036127205508041937
2005-12-15,-0.00684796537443999,-0.005071594819219261
